src_package_name,src_ecosystem,target_package_name,target_ecosystem,how_discovered
@ohos/crypto-js,OHPM,crypto-js,NPM,deepseek
@ohos/crypto-js,OHPM,js-sha256,NPM,deepseek
@ohos/crypto-js,OHPM,js-md5,NPM,deepseek
@ohos/crypto-js,OHPM,node-forge,NPM,deepseek
@ohos/crypto-js,OHPM,org.bouncycastle:bcprov-jdk15on,Maven,deepseek
@ohos/crypto-js,OHPM,commons-codec:commons-codec,Maven,deepseek
@ohos/crypto-js,OHPM,openssl,C/C++,deepseek
@ohos/crypto-js,OHPM,libsodium,C/C++,deepseek
@ohos/crypto-js,OHPM,pycryptodome,PYPI,deepseek
@ohos/crypto-js,OHPM,cryptography,PYPI,deepseek
@ohos/crypto-js,OHPM,rust-crypto,Rust Crates,deepseek
@ohos/crypto-js,OHPM,ring,Rust Crates,deepseek
@ohos/pulltorefresh,OHPM,react-pull-to-refresh,NPM,deepseek
@ohos/pulltorefresh,OHPM,react-swipeable-views,NPM,deepseek
@ohos/pulltorefresh,OHPM,react-custom-scrollbars,NPM,deepseek
@ohos/pulltorefresh,OHPM,androidx.swiperefreshlayout:swiperefreshlayout,Maven,deepseek
@ohos/pulltorefresh,OHPM,com.lcodecorex:tkrefreshlayout,Maven,deepseek
@ohos/axios,OHPM,axios,NPM,deepseek
@ohos/axios,OHPM,request,NPM,deepseek
@ohos/axios,OHPM,superagent,NPM,deepseek
@ohos/axios,OHPM,got,NPM,deepseek
@ohos/axios,OHPM,node-fetch,NPM,deepseek
@ohos/axios,OHPM,okhttp,Maven,deepseek
@ohos/axios,OHPM,retrofit,Maven,deepseek
@ohos/axios,OHPM,apache-httpclient,Maven,deepseek
@ohos/axios,OHPM,libcurl,C/C++,deepseek
@ohos/axios,OHPM,cpp-httplib,C/C++,deepseek
@ohos/axios,OHPM,requests,PYPI,deepseek
@ohos/axios,OHPM,httpx,PYPI,deepseek
@ohos/axios,OHPM,aiohttp,PYPI,deepseek
@ohos/axios,OHPM,reqwest,Rust Crates,deepseek
@ohos/axios,OHPM,hyper,Rust Crates,deepseek
@ohos/gpu_transform,OHPM,glide,NPM,deepseek
@ohos/gpu_transform,OHPM,pica,NPM,deepseek
@ohos/gpu_transform,OHPM,sharp,NPM,deepseek
@ohos/gpu_transform,OHPM,com.github.bumptech.glide:glide,Maven,deepseek
@ohos/gpu_transform,OHPM,com.squareup.picasso:picasso,Maven,deepseek
@ohos/gpu_transform,OHPM,Pillow,PYPI,deepseek
@ohos/gpu_transform,OHPM,opencv-python,PYPI,deepseek
